letter,weight_I,relative_weight_I,weight_II,relative_weight_II,weight_III,relative_weight_III,weight_IV,relative_weight_IV,weight,relative_weight,center_y,center_x,relative_center_y,relative_center_x,inertia_y,inertia_x,relative_inertia_y,relative_inertia_x
ა,10,0.062111801242236024,60,0.37267080745341613,71,0.4409937888198758,72,0.4472049689440994,213,0.3307453416149068,16.417840375586856,11.873239436619718,0.5710311250217354,0.4942381562099872,9417.57746478874,13329.81220657282,0.2075773648259547,0.2938088167377024
ბ,79,0.31225296442687744,70,0.2766798418972332,106,0.4189723320158103,103,0.40711462450592883,358,0.3530571992110454,21.61731843575419,12.14245810055866,0.5425610114672155,0.4456983240223464,20983.734636871526,39894.57262569825,0.16372565335719488,0.3112775243102451
გ,85,0.33203125,115,0.44921875,103,0.40234375,107,0.41796875,410,0.4,20.336585365853658,12.282926829268293,0.48341463414634145,0.4701219512195122,22539.180487804882,62105.55121951208,0.13408197791674528,0.3694559858388583
დ,182,0.44390243902439025,154,0.375609756097561,116,0.28292682926829266,119,0.29024390243902437,571,0.34817073170731705,16.316987740805605,19.024518388791595,0.38292469352014014,0.46216713817414345,77233.65674255721,69605.62521891418,0.23688326542538274,0.21348733815352727
ე,74,0.3008130081300813,103,0.4186991869918699,87,0.35365853658536583,107,0.4349593495934959,371,0.37703252032520324,20.175202156334233,12.773584905660377,0.4793800539083558,0.5118949958982772,23120.981132075452,63155.61185983826,0.1679803338545597,0.4588430181402217
ვ,68,0.265625,105,0.41015625,82,0.3203125,109,0.42578125,364,0.3551219512195122,20.494505494505493,12.760989010989011,0.4873626373626373,0.49004120879120877,19788.206043956056,62694.98901098896,0.14934945993808157,0.4731840131852204
ზ,127,0.4703703703703704,87,0.32222222222222224,93,0.34444444444444444,107,0.3962962962962963,414,0.38333333333333336,19.92270531400966,12.347826086956522,0.48519757215409387,0.43645484949832775,25163.91304347829,56149.52657004834,0.14681738805735425,0.32760114921029865
თ,121,0.43214285714285716,129,0.4607142857142857,120,0.42857142857142855,91,0.325,461,0.41160714285714284,12.600867678958785,19.13015184381779,0.42966176588736243,0.46487568830302023,74224.19088937089,33392.5596529285,0.34925579537726104,0.1571259294513413
ი,75,0.44642857142857145,77,0.4583333333333333,63,0.375,64,0.38095238095238093,279,0.41517857142857145,12.526881720430108,11.544802867383513,0.4269215452011151,0.4584696898862397,18887.18996415771,18947.548387096784,0.24263806945128802,0.2434134760228772
კ,6,0.0234375,109,0.42578125,80,0.3125,113,0.44140625,308,0.30048780487804877,23.532467532467532,14.85064935064935,0.5633116883116883,0.5771103896103896,14849.12987012989,44480.67532467541,0.15653071628995077,0.46888888645508736
ლ,206,0.3946360153256705,204,0.39080459770114945,125,0.23946360153256704,71,0.1360153256704981,606,0.2898134863701578,14.74092409240924,23.353135313531354,0.34352310231023103,0.44706270627062705,140938.42904290435,79782.32508250828,0.38378162555660217,0.21725082803022655
მ,97,0.4041666666666667,129,0.5375,106,0.44166666666666665,97,0.4041666666666667,429,0.446875,19.44988344988345,12.303030303030303,0.47307393461239616,0.4914361001317523,25504.60606060606,61242.172494172504,0.1385811099733541,0.3327637455467668
ნ,126,0.5384615384615384,78,0.3333333333333333,97,0.41452991452991456,97,0.41452991452991456,398,0.4252136752136752,19.022613065326635,10.314070351758794,0.47427929119280615,0.4049595805112519,24333.74120603015,54078.79648241206,0.15361822432533365,0.3413979222899173
ო,115,0.45634920634920634,117,0.4642857142857143,71,0.28174603174603174,73,0.2896825396825397,376,0.373015873015873,11.15159574468085,17.57712765957447,0.37598502758077224,0.4736322188449848,56393.76329787235,23804.359042553107,0.3988920559208943,0.16837623813485392
პ,24,0.1,97,0.4041666666666667,74,0.30833333333333335,107,0.44583333333333336,302,0.3145833333333333,22.95364238410596,13.774834437086092,0.5629139072847682,0.5554275842211345,13214.688741721851,42847.35099337744,0.144891547977302,0.4697968399782624
ჟ,81,0.31640625,137,0.53515625,77,0.30078125,107,0.41796875,402,0.3921951219512195,20.074626865671643,14.144278606965175,0.47686567164179106,0.5476782752902156,23791.63184079603,61935.76119402979,0.14722180045540972,0.3832563624293321
რ,152,0.4222222222222222,104,0.28888888888888886,108,0.3,113,0.3138888888888889,477,0.33125,19.31446540880503,16.27463312368973,0.46960167714884693,0.43641808924827796,64127.02306079666,50436.83018867929,0.28184109744602515,0.22167209537544352
ს,76,0.3247863247863248,38,0.1623931623931624,97,0.41452991452991456,101,0.43162393162393164,312,0.3333333333333333,22.608974358974358,9.820512820512821,0.5686572199730094,0.3835005574136009,21761.948717948726,35022.294871794846,0.2235571654950354,0.35977867019841847
ტ,136,0.3408521303258145,136,0.3408521303258145,135,0.3383458646616541,131,0.3283208020050125,538,0.33667083854818525,23.821561338289964,16.4089219330855,0.49612089865847747,0.46693702827531824,59814.03717472121,90948.86988847575,0.20665150141209082,0.3142192268227213
უ,83,0.32421875,117,0.45703125,85,0.33203125,107,0.41796875,392,0.3824390243902439,19.21938775510204,13.943877551020408,0.45548469387755103,0.5393282312925171,23398.765306122426,72107.13265306124,0.15227226485137982,0.46925195656146684
ფ,150,0.37593984962406013,187,0.46867167919799496,111,0.2781954887218045,145,0.3634085213032581,593,0.3708567854909318,17.69308600337268,20.45699831365936,0.41732715008431703,0.5120262714120883,76679.1534569983,88306.14165261379,0.21805594060269845,0.2511201273218857
ქ,75,0.2403846153846154,156,0.5,87,0.27884615384615385,132,0.4230769230769231,450,0.3605769230769231,27.07777777777778,14.237777777777778,0.5113289760348584,0.5755555555555556,28103.55777777776,100810.27777777782,0.13878300137174204,0.49782853223593987
ღ,149,0.4037940379403794,153,0.4146341463414634,103,0.2791327913279133,62,0.16802168021680217,467,0.31639566395663954,15.687366167023555,16.63169164882227,0.36718415417558886,0.446619761394922,56142.65096359743,62286.355460385406,0.2574299985950572,0.2856006284607908
ყ,110,0.44715447154471544,110,0.44715447154471544,86,0.34959349593495936,103,0.4186991869918699,409,0.41565040650406504,20.599022004889974,12.14914425427873,0.48997555012224936,0.48474540235994473,28523.902200488963,58312.23960880187,0.17051489529886218,0.34858854029329017
შ,96,0.384,145,0.58,103,0.412,101,0.404,445,0.445,18.874157303370787,13.321348314606741,0.45831172572745604,0.5133895131086142,26245.04719101124,66138.95280898883,0.1325340092968627,0.3339929443706039
ჩ,130,0.5416666666666666,98,0.4083333333333333,86,0.35833333333333334,95,0.3958333333333333,409,0.42604166666666665,18.540342298288508,10.202933985330073,0.44975236662278223,0.4001275645795684,25316.156479217625,50387.58435207826,0.15133910294186204,0.3012152267865344
ც,90,0.30303030303030304,119,0.4006734006734007,104,0.3501683501683502,120,0.40404040404040403,433,0.3641715727502103,20.909930715935335,13.99769053117783,0.4977482678983834,0.46420323325635104,38922.99769053137,61899.487297921456,0.20760150030418514,0.33014996772035404
ძ,48,0.20512820512820512,106,0.452991452991453,106,0.452991452991453,97,0.41452991452991456,357,0.3814102564102564,21.649859943977592,13.117647058823529,0.5434173669467788,0.5268542199488491,23685.05882352942,38521.2324929972,0.18583950304458582,0.3022482129557486
წ,132,0.528,112,0.448,98,0.392,99,0.396,441,0.441,18.537414965986393,10.795918367346939,0.44967730682016394,0.40816326530612246,26725.632653061224,65617.63265306121,0.13742027577532626,0.3373986798353629
ჭ,99,0.3046153846153846,146,0.4492307692307692,89,0.27384615384615385,132,0.40615384615384614,466,0.35846153846153844,27.098712446351932,12.394849785407725,0.5117394597323909,0.4747854077253219,22561.347639484997,98251.4592274678,0.10389465471589547,0.4524464404735204
ხ,106,0.452991452991453,51,0.21794871794871795,97,0.41452991452991456,97,0.41452991452991456,351,0.375,21.376068376068375,9.88034188034188,0.5362123256860098,0.3861018208844296,23676.974358974327,37536.35897435879,0.19218167351705204,0.30467576541066055
ჯ,70,0.2845528455284553,86,0.34959349593495936,77,0.3130081300813008,113,0.45934959349593496,346,0.3516260162601626,21.502890173410403,12.205202312138729,0.5125722543352601,0.487182709223423,14982.430635838131,54218.497109826596,0.1251497764362168,0.4528926551991931
ჰ,24,0.10256410256410256,103,0.44017094017094016,73,0.31196581196581197,116,0.49572649572649574,316,0.33760683760683763,21.550632911392405,14.018987341772151,0.5408061292471685,0.566042927903137,11287.88607594937,42612.18987341766,0.11304164072213356,0.42673639914895106
