Symbol Index,"Hypotheses (Letter, Proximity)"
0,"[('ხ', 0.9590409183290082), ('ზ', 0.871501949077616), ('ნ', 0.8703051267772691), ('ბ', 0.8415061480211878), ('ს', 0.8388597881137001), ('ჩ', 0.816801281868146), ('რ', 0.807800143521825), ('ტ', 0.8072582593410593), ('წ', 0.796630162113792), ('ყ', 0.7934873219165133), ('ც', 0.7828244683217239), ('ი', 0.7753140180711595), ('გ', 0.7694123581799938), ('დ', 0.7599689788773356), ('ჯ', 0.7573952348614985), ('ე', 0.74406415041299), ('მ', 0.7412273644858832), ('ფ', 0.7382214805345917), ('ვ', 0.7317720294423604), ('თ', 0.7308567443651559), ('ჭ', 0.7286694202321458), ('უ', 0.7249269561309716), ('ძ', 0.7217519432549838), ('შ', 0.7139682564219597), ('ღ', 0.7103201810485285), ('ჟ', 0.7068291700914344), ('ო', 0.6945645125865432), ('ა', 0.684145195072462), ('ქ', 0.6772185730268812), ('ლ', 0.6708583458300839), ('პ', 0.6678641316894139), ('ჰ', 0.6637591606832849), ('კ', 0.6366490396716403)]"
1,"[('ე', 0.953833112441077), ('ვ', 0.9368805100736326), ('უ', 0.9299527170334093), ('ჯ', 0.9085755460094), ('ჭ', 0.9059048671320689), ('გ', 0.8908462686822891), ('ქ', 0.8844762974691411), ('ჟ', 0.8822117698080787), ('ც', 0.8681877728804189), ('ყ', 0.8389059158651194), ('ჰ', 0.8285063109358605), ('პ', 0.827956585620354), ('ძ', 0.8277455464922293), ('ტ', 0.8217109816708449), ('მ', 0.8181848592320253), ('შ', 0.8163071059316104), ('ბ', 0.807274864215703), ('ფ', 0.7938307348098324), ('ზ', 0.7933968390423219), ('კ', 0.7807072436191722), ('ი', 0.7699727486113926), ('წ', 0.7699163352097628), ('ა', 0.7627370534028144), ('ნ', 0.7566752617124041), ('ჩ', 0.7554661450338686), ('ს', 0.744533221003167), ('ხ', 0.7422639161491038), ('დ', 0.7339519080703177), ('რ', 0.7333043959212809), ('ღ', 0.7188149276767144), ('თ', 0.7054006440574927), ('ო', 0.6837607837927959), ('ლ', 0.6643334278868201)]"
2,"[('ა', 0.9445632831228161), ('ძ', 0.8500058609684807), ('ჰ', 0.8021954976201344), ('კ', 0.7944684727449359), ('პ', 0.793785983175904), ('ც', 0.7668783997771151), ('ბ', 0.7648228587495531), ('გ', 0.7495539499699424), ('ვ', 0.7443787466692163), ('ე', 0.7440735571740068), ('ჯ', 0.7435045334296431), ('ტ', 0.7342776165769246), ('ქ', 0.727015058196753), ('ჟ', 0.725879964426344), ('უ', 0.7203850774717188), ('ჭ', 0.7190654595333638), ('ს', 0.7164115936449367), ('მ', 0.7098614865289335), ('შ', 0.706175315133489), ('ფ', 0.7010601317178321), ('ყ', 0.6979053855289029), ('ი', 0.6885781085063619), ('ხ', 0.6830236312292329), ('ზ', 0.6817178954943702), ('რ', 0.6779135267219278), ('თ', 0.674569265905093), ('დ', 0.660608682111509), ('ნ', 0.6564985887993927), ('წ', 0.6556840472117714), ('ჩ', 0.6503077821747172), ('ღ', 0.645354263144749), ('ო', 0.6356870039712118), ('ლ', 0.6195838541223623)]"
3,"[('რ', 0.9597893811133738), ('დ', 0.8780069950442592), ('ტ', 0.8613248849517489), ('ზ', 0.8409877016623654), ('ი', 0.8388583476772532), ('ხ', 0.8252988849511085), ('ფ', 0.8180493624921448), ('თ', 0.8169719168116527), ('ჩ', 0.8110917530070416), ('ც', 0.8102551774402836), ('ბ', 0.8073700115433075), ('ღ', 0.8068282218248949), ('ნ', 0.8035932670418162), ('ყ', 0.8002893065734046), ('ო', 0.7999774852313369), ('წ', 0.7843270161621207), ('ლ', 0.77554737436869), ('ს', 0.7713935069818036), ('გ', 0.7667795692355587), ('მ', 0.7494347895649044), ('ე', 0.7405217209968376), ('ჯ', 0.7372309787941084), ('ძ', 0.7362441659859287), ('შ', 0.7317141698344432), ('ჟ', 0.7312452583173318), ('უ', 0.7301506303692655), ('ჭ', 0.7300675421174355), ('ვ', 0.7292913355191137), ('ა', 0.6923681470737891), ('ქ', 0.6866238207767812), ('პ', 0.6703696862093849), ('ჰ', 0.6658234050085515), ('კ', 0.6441055667110226)]"
4,"[('ი', 0.9576254202341927), ('ყ', 0.8791149601353073), ('ფ', 0.8776828397682619), ('თ', 0.8583077341783971), ('ჩ', 0.852925284094432), ('დ', 0.8528351734685492), ('ც', 0.8527225589258047), ('ტ', 0.8512843100230725), ('წ', 0.8473256070976457), ('მ', 0.8464609186894432), ('ზ', 0.8452789376115166), ('რ', 0.8362619881121396), ('გ', 0.8352854405203474), ('შ', 0.825421092099319), ('ნ', 0.8251545422398946), ('ო', 0.8044743529153097), ('ბ', 0.8029232036228519), ('ჟ', 0.7977222156167506), ('ხ', 0.790935102560244), ('ღ', 0.7902069713514306), ('ე', 0.7870698460864761), ('ძ', 0.7856551921586755), ('უ', 0.7825961696370167), ('ჭ', 0.7659418823420083), ('ვ', 0.7641793125285278), ('ჯ', 0.7605546559759545), ('ლ', 0.7409500711207938), ('ს', 0.7393890849968833), ('ქ', 0.7276502982097482), ('ა', 0.7103585741351882), ('ჰ', 0.6959959359387377), ('პ', 0.6918738788501798), ('კ', 0.6645357558020316)]"
5,"[('ქ', 0.9462014504774655), ('ვ', 0.8740823347861065), ('უ', 0.8687098301972923), ('ე', 0.8606520965835047), ('ჭ', 0.8588741843052827), ('პ', 0.8583969449020873), ('ჯ', 0.8424943326590051), ('ჰ', 0.8423557209935326), ('ჟ', 0.8375521366104132), ('კ', 0.8168132027134245), ('გ', 0.796162316638126), ('ც', 0.7878407334212808), ('ძ', 0.7752804760007547), ('ყ', 0.7637337707162675), ('ტ', 0.7583435835512936), ('შ', 0.7583032918439743), ('მ', 0.7503208021125795), ('ფ', 0.7406745310771496), ('ბ', 0.7384186491230998), ('ა', 0.7350951079786353), ('ზ', 0.724174799793568), ('ი', 0.7062912286682719), ('წ', 0.7044809535696064), ('ს', 0.6943981562416757), ('ჩ', 0.6918606035349282), ('ნ', 0.6912473494149847), ('ღ', 0.685106612572994), ('დ', 0.6849187704928902), ('რ', 0.6833543651813336), ('ხ', 0.6817109412484947), ('თ', 0.6570253131583739), ('ო', 0.6475464300549705), ('ლ', 0.6386899628099866)]"
6,"[('ნ', 0.9430231958049786), ('ჩ', 0.9205350463414236), ('წ', 0.9170903028413033), ('ზ', 0.8854405989054012), ('ყ', 0.8616678224855707), ('ი', 0.826003797691566), ('ხ', 0.8227472954959776), ('მ', 0.810685438418257), ('გ', 0.8029035305700366), ('ტ', 0.7899774138644583), ('ც', 0.7826680974962883), ('ბ', 0.7819546344587358), ('შ', 0.7803804230631354), ('დ', 0.7778595571923171), ('რ', 0.774978732830057), ('ფ', 0.7726196353381025), ('ე', 0.7630195334818496), ('უ', 0.7596237577478878), ('ჯ', 0.7531271108455277), ('ჭ', 0.7521955653288777), ('თ', 0.7497791774849311), ('ჟ', 0.7485606857939202), ('ვ', 0.7425386928426981), ('ს', 0.7419895955226535), ('ღ', 0.7295310859901926), ('ძ', 0.7207429482434579), ('ო', 0.7145822611940845), ('ქ', 0.6993551598957196), ('ლ', 0.675142606905298), ('ჰ', 0.6620051695705854), ('პ', 0.6597648923482304), ('ა', 0.6586807666792921), ('კ', 0.6286817978419198)]"
7,"[('ე', 0.9602138796658604), ('უ', 0.9328292549731128), ('ვ', 0.9321416525877071), ('ჯ', 0.8944318045876893), ('ქ', 0.8834875747116285), ('ჭ', 0.8826262325615409), ('გ', 0.872820458860393), ('ჟ', 0.8628132334352961), ('ც', 0.854514155552788), ('პ', 0.8275742554126335), ('ყ', 0.825577464482444), ('ძ', 0.8207362176234525), ('ჰ', 0.8192879831760088), ('ტ', 0.8151614461001404), ('მ', 0.8073911635854979), ('შ', 0.8041775159852109), ('ბ', 0.7996324582749856), ('ზ', 0.7828471294607364), ('კ', 0.7819559973345033), ('ფ', 0.7811435428503157), ('ი', 0.7612695489808117), ('წ', 0.760312137741749), ('ა', 0.7586235274004358), ('ნ', 0.750418556960515), ('ჩ', 0.7449251743040944), ('ს', 0.7437918942769443), ('ხ', 0.7372363993062926), ('რ', 0.7278917032959384), ('დ', 0.7266809677767138), ('ღ', 0.7174458883164042), ('თ', 0.7021380585604073), ('ო', 0.6807039346269863), ('ლ', 0.664333946323245)]"
8,"[('ბ', 0.9494890790101818), ('ც', 0.8859240212456801), ('ტ', 0.8802150147896657), ('გ', 0.859209364470155), ('ჯ', 0.8465401235997965), ('ზ', 0.8427606639563816), ('ძ', 0.8375500137817723), ('ს', 0.8356955708389028), ('ხ', 0.8351906712456494), ('ე', 0.83246792975277), ('ყ', 0.8266302074256302), ('ვ', 0.822167287944295), ('ჭ', 0.8069108157912661), ('უ', 0.8009899320453923), ('ნ', 0.7988943696185415), ('რ', 0.7949661918151844), ('მ', 0.7937946451805998), ('ი', 0.7905704143807928), ('ა', 0.787076050519224), ('ფ', 0.7861798978143927), ('ჟ', 0.78542698099893), ('ჩ', 0.7789677415662736), ('წ', 0.7784903467314701), ('შ', 0.7716390945793776), ('პ', 0.7666648652465834), ('დ', 0.7626763231253122), ('ჰ', 0.7625206432415021), ('ქ', 0.7604686162948907), ('თ', 0.7400328011063432), ('კ', 0.7291856766940047), ('ღ', 0.7277462974668679), ('ო', 0.6986312941096664), ('ლ', 0.6795748441349625)]"
9,"[('ა', 0.9445632831228161), ('ძ', 0.8500058609684807), ('ჰ', 0.8021954976201344), ('კ', 0.7944684727449359), ('პ', 0.793785983175904), ('ც', 0.7668783997771151), ('ბ', 0.7648228587495531), ('გ', 0.7495539499699424), ('ვ', 0.7443787466692163), ('ე', 0.7440735571740068), ('ჯ', 0.7435045334296431), ('ტ', 0.7342776165769246), ('ქ', 0.727015058196753), ('ჟ', 0.725879964426344), ('უ', 0.7203850774717188), ('ჭ', 0.7190654595333638), ('ს', 0.7164115936449367), ('მ', 0.7098614865289335), ('შ', 0.706175315133489), ('ფ', 0.7010601317178321), ('ყ', 0.6979053855289029), ('ი', 0.6885781085063619), ('ხ', 0.6830236312292329), ('ზ', 0.6817178954943702), ('რ', 0.6779135267219278), ('თ', 0.674569265905093), ('დ', 0.660608682111509), ('ნ', 0.6564985887993927), ('წ', 0.6556840472117714), ('ჩ', 0.6503077821747172), ('ღ', 0.645354263144749), ('ო', 0.6356870039712118), ('ლ', 0.6195838541223623)]"
