Symbol Index,"Hypotheses (Letter, Proximity)"
0,"[('ხ', 0.9999999999999998), ('ზ', 0.8655211498872571), ('ს', 0.8637199623916739), ('ნ', 0.8574343752014435), ('ბ', 0.8571450872444349), ('ტ', 0.8182181419856963), ('რ', 0.8155928545632863), ('ჩ', 0.807309359619209), ('ც', 0.7924516156628654), ('ყ', 0.7895221518279638), ('წ', 0.7890836219157087), ('ი', 0.7752991113817884), ('გ', 0.7735509068398158), ('ჯ', 0.7641554461798938), ('დ', 0.7622336803252022), ('ე', 0.7501032485185359), ('ფ', 0.7399376813126546), ('მ', 0.7395048571945276), ('ვ', 0.7392037645817682), ('თ', 0.7338128559458877), ('ჭ', 0.7324255831470954), ('ძ', 0.7290874959186519), ('უ', 0.7282574146858127), ('ღ', 0.716175435004662), ('შ', 0.7126089327639812), ('ჟ', 0.7080279543462514), ('ო', 0.6972399047501203), ('ა', 0.695459568055642), ('ქ', 0.6807608685000804), ('ლ', 0.6774459742272857), ('პ', 0.675664632667412), ('ჰ', 0.6698801283964293), ('კ', 0.6444822884755428)]"
1,"[('ვ', 1.0), ('ე', 0.9433854244984798), ('ჯ', 0.9235752877298694), ('ჭ', 0.9137284534871142), ('უ', 0.912052955073267), ('ქ', 0.8787406684424249), ('გ', 0.8655454033915443), ('ც', 0.857800086270373), ('ჟ', 0.8520100750860891), ('პ', 0.8368150192295157), ('ჰ', 0.8257010757501458), ('ტ', 0.8180808820984593), ('ყ', 0.8154250938452641), ('ძ', 0.805543533746638), ('ბ', 0.8012796410747819), ('მ', 0.790020642789322), ('კ', 0.7877195595737894), ('შ', 0.7875318790718381), ('ზ', 0.784810532863325), ('ფ', 0.7787917648005247), ('ა', 0.759355370937467), ('წ', 0.7570362352692754), ('ი', 0.7542503819909359), ('ს', 0.7508348621587428), ('ნ', 0.747469372849362), ('ჩ', 0.7446242665461283), ('ხ', 0.7392037645817682), ('რ', 0.7304579266129366), ('დ', 0.7280450608585611), ('ღ', 0.7205281910024078), ('თ', 0.6931470624289033), ('ო', 0.677220937314998), ('ლ', 0.6664373693305732)]"
2,"[('ა', 1.0), ('ძ', 0.8513502768032644), ('ჰ', 0.8060844383949514), ('პ', 0.8049181395526968), ('კ', 0.8018753082917186), ('ც', 0.7833042117821364), ('ბ', 0.7803035468026687), ('ვ', 0.759355370937467), ('გ', 0.7593396554346773), ('ჯ', 0.7578364531978165), ('ე', 0.755803807738689), ('ტ', 0.7508110526378456), ('ს', 0.7342221898657332), ('ქ', 0.7339484741803722), ('ჭ', 0.7319569513671562), ('ჟ', 0.7313401085315381), ('უ', 0.7293040266357301), ('მ', 0.7130768318955504), ('ფ', 0.7098329882917545), ('შ', 0.7082887136486229), ('ყ', 0.7056459566374432), ('ი', 0.6966561119785193), ('ხ', 0.695459568055642), ('ზ', 0.6927707456917948), ('რ', 0.6916781226471304), ('თ', 0.6810297428114933), ('დ', 0.671593229165524), ('ნ', 0.6654577638821443), ('წ', 0.6637188750206959), ('ჩ', 0.6591073820097801), ('ღ', 0.6584687448549524), ('ო', 0.6442968783120594), ('ლ', 0.6319311263777002)]"
3,"[('რ', 0.9999999999999998), ('დ', 0.8785634902922729), ('ტ', 0.8592031628527196), ('ზ', 0.8301004330328007), ('ი', 0.8270377349291438), ('ფ', 0.8161024137886848), ('ხ', 0.8155928545632863), ('ღ', 0.8126633290408315), ('ც', 0.8083786790315375), ('თ', 0.8067331994062913), ('ო', 0.803855613220803), ('ბ', 0.8000290208957722), ('ჩ', 0.7984483312579386), ('ყ', 0.790347400300672), ('ნ', 0.7901671089742017), ('ლ', 0.7874337224473212), ('წ', 0.772067588841981), ('ს', 0.7716650205981544), ('გ', 0.7596132762666317), ('ე', 0.7394656616248361), ('მ', 0.7378296662488482), ('ჯ', 0.7377165387376564), ('ვ', 0.7304579266129366), ('ჭ', 0.7299218871594709), ('ძ', 0.7299048830330594), ('უ', 0.728702552801824), ('ჟ', 0.7281812552992468), ('შ', 0.7222885029878118), ('ა', 0.6916781226471304), ('ქ', 0.6868676482232565), ('პ', 0.6722085887933087), ('ჰ', 0.6663590367091364), ('კ', 0.6462706224447718)]"
4,"[('ი', 1.0), ('ფ', 0.8806171660841161), ('ყ', 0.8680020993971499), ('თ', 0.8633039422090183), ('დ', 0.860153817873964), ('ჩ', 0.8573782546622828), ('წ', 0.8518874840518317), ('მ', 0.8422781086804567), ('ც', 0.8353714559809348), ('ტ', 0.8329338214923941), ('ზ', 0.8326093981868954), ('რ', 0.8270377349291438), ('შ', 0.8251059977053358), ('გ', 0.8229490584087275), ('ნ', 0.8181306370338179), ('ო', 0.8172102174421686), ('ღ', 0.7981401712714129), ('ჟ', 0.7922073450814247), ('ბ', 0.7817005448290243), ('ე', 0.7755707006089176), ('ხ', 0.7752991113817884), ('უ', 0.77459806427905), ('ძ', 0.7688370845246104), ('ჭ', 0.758416311004), ('ვ', 0.7542503819909359), ('ლ', 0.7481680530993318), ('ჯ', 0.7476996020294363), ('ს', 0.7234534127316552), ('ქ', 0.7197853577691878), ('ა', 0.6966561119785193), ('ჰ', 0.6854100277169537), ('პ', 0.6805681534430427), ('კ', 0.6545762457935316)]"
5,"[('ქ', 1.0), ('უ', 0.8841798409553236), ('ვ', 0.8787406684424248), ('ჭ', 0.8748986166261551), ('ჟ', 0.8690992540001333), ('ე', 0.8672136157284158), ('პ', 0.843990763843119), ('ჰ', 0.8412227277269833), ('ჯ', 0.8385454776614543), ('გ', 0.8105178791389747), ('კ', 0.8060457004400291), ('ც', 0.7972488460509051), ('ძ', 0.7819935552158578), ('შ', 0.7809497269690288), ('ყ', 0.7768077018316234), ('მ', 0.7683612220938114), ('ტ', 0.7613189418171262), ('ფ', 0.757093371726452), ('ბ', 0.7363582078483019), ('ა', 0.7339484741803722), ('ზ', 0.7287141887657389), ('ი', 0.7197853577691878), ('წ', 0.7165215302632538), ('ჩ', 0.7023407466114832), ('ნ', 0.6962781819090773), ('დ', 0.6940221259528), ('ღ', 0.6933729570410707), ('ს', 0.687817709242765), ('რ', 0.6868676482232565), ('ხ', 0.6807608685000804), ('თ', 0.6668232215870222), ('ო', 0.6578029715377789), ('ლ', 0.6449382715610011)]"
6,"[('ნ', 1.0), ('ზ', 0.9037129379292672), ('ჩ', 0.9035766725676992), ('წ', 0.8908799947193176), ('ხ', 0.8574343752014435), ('ყ', 0.8473067126111022), ('ი', 0.8181306370338178), ('ტ', 0.8029675633408002), ('გ', 0.8010263832453489), ('ბ', 0.8009174729601165), ('მ', 0.7927539678090257), ('რ', 0.7901671089742017), ('ც', 0.7892341331048693), ('დ', 0.7812416560968917), ('ს', 0.7694609330615382), ('ფ', 0.7663659885879254), ('ე', 0.7659733235797799), ('შ', 0.7622067765916134), ('ჯ', 0.7611069500130393), ('უ', 0.7572393603917538), ('ჭ', 0.7517414982689883), ('თ', 0.7479562470520685), ('ვ', 0.747469372849362), ('ჟ', 0.738672692945114), ('ღ', 0.7342925873250238), ('ძ', 0.7214186484080737), ('ო', 0.7132801539195962), ('ქ', 0.6962781819090773), ('ლ', 0.6809805270225524), ('ა', 0.6654577638821444), ('პ', 0.6637726700833614), ('ჰ', 0.6632287317027251), ('კ', 0.6321009828469331)]"
7,"[('ე', 1.0), ('ვ', 0.9433854244984798), ('უ', 0.9374485340828678), ('ჯ', 0.9055859374699777), ('ჭ', 0.8918060535493814), ('გ', 0.8893950198165947), ('ც', 0.870727997438922), ('ქ', 0.8672136157284158), ('ჟ', 0.8650876251519914), ('ყ', 0.8414229490286685), ('ტ', 0.8266374878242236), ('ძ', 0.8175830119209352), ('მ', 0.8162038902132849), ('პ', 0.813966754062397), ('შ', 0.8106054897983076), ('ბ', 0.8093209902458005), ('ჰ', 0.80871137864453), ('ზ', 0.7993177607370988), ('ფ', 0.792610797438947), ('წ', 0.7765634661629562), ('ი', 0.7755707006089176), ('კ', 0.7689820144115392), ('ნ', 0.7659733235797799), ('ჩ', 0.7614342110165433), ('ა', 0.755803807738689), ('ს', 0.7532213834122891), ('ხ', 0.7501032485185359), ('რ', 0.7394656616248361), ('დ', 0.7387958630395594), ('ღ', 0.7261007972370525), ('თ', 0.7109534638470769), ('ო', 0.6897121827206946), ('ლ', 0.6713773041574794)]"
8,"[('ბ', 0.9999999999999998), ('ტ', 0.8705685650849554), ('ს', 0.865088566555275), ('ც', 0.8638633298124588), ('ხ', 0.8571450872444349), ('ზ', 0.8392731248488504), ('გ', 0.8352370035342808), ('ჯ', 0.8262775722179136), ('ძ', 0.8158738047598393), ('ე', 0.8093209902458005), ('ყ', 0.8059976110563041), ('ვ', 0.8012796410747819), ('ნ', 0.8009174729601165), ('რ', 0.8000290208957723), ('ჭ', 0.7836733338104918), ('ი', 0.7817005448290243), ('ა', 0.7803035468026687), ('უ', 0.777619438676307), ('ჩ', 0.7745609107628426), ('მ', 0.7742512398006259), ('წ', 0.7710600995459647), ('ფ', 0.7699242279553297), ('დ', 0.7597872826334663), ('ჟ', 0.7587621263516494), ('შ', 0.7506200832763327), ('პ', 0.7484311602568229), ('ჰ', 0.7424081755246071), ('თ', 0.7377388841795625), ('ქ', 0.7363582078483019), ('ღ', 0.7246864764484087), ('კ', 0.7138078281527191), ('ო', 0.6948654893084651), ('ლ', 0.679529210153939)]"
9,"[('ა', 1.0), ('ძ', 0.8513502768032644), ('ჰ', 0.8060844383949514), ('პ', 0.8049181395526968), ('კ', 0.8018753082917186), ('ც', 0.7833042117821364), ('ბ', 0.7803035468026687), ('ვ', 0.759355370937467), ('გ', 0.7593396554346773), ('ჯ', 0.7578364531978165), ('ე', 0.755803807738689), ('ტ', 0.7508110526378456), ('ს', 0.7342221898657332), ('ქ', 0.7339484741803722), ('ჭ', 0.7319569513671562), ('ჟ', 0.7313401085315381), ('უ', 0.7293040266357301), ('მ', 0.7130768318955504), ('ფ', 0.7098329882917545), ('შ', 0.7082887136486229), ('ყ', 0.7056459566374432), ('ი', 0.6966561119785193), ('ხ', 0.695459568055642), ('ზ', 0.6927707456917948), ('რ', 0.6916781226471304), ('თ', 0.6810297428114933), ('დ', 0.671593229165524), ('ნ', 0.6654577638821443), ('წ', 0.6637188750206959), ('ჩ', 0.6591073820097801), ('ღ', 0.6584687448549524), ('ო', 0.6442968783120594), ('ლ', 0.6319311263777002)]"
